date,coin,news_count,pos,neu,neg,mean_sentiment
2018-03-22,BTC,12,0,12,0,0
2018-03-22,ETH,3,0,3,0,0
2018-03-22,LTC,1,0,1,0,0
2018-03-23,BTC,13,0,13,0,0
2018-03-23,ETH,4,0,4,0,0
2018-03-24,BTC,8,0,8,0,0
2018-03-24,ETH,2,0,2,0,0
2018-03-25,BTC,9,0,9,0,0
2018-03-25,ETH,1,0,1,0,0
2018-03-26,BTC,13,0,13,0,0
2018-03-26,ETH,1,0,1,0,0
2018-03-26,LTC,1,0,1,0,0
2018-03-27,BTC,16,0,16,0,0
2018-03-27,ETH,4,0,4,0,0
2018-03-27,LTC,2,0,2,0,0
2018-03-28,BTC,15,0,15,0,0
2018-03-28,ETH,6,0,6,0,0
2018-03-28,LTC,1,0,1,0,0
2018-03-29,BTC,15,0,15,0,0
2018-03-29,ETH,3,0,3,0,0
2018-03-30,BTC,21,0,21,0,0
2018-03-30,ETH,6,0,6,0,0
2018-03-31,BTC,5,0,5,0,0
2018-03-31,ETH,1,0,1,0,0
2018-04-01,BTC,2,0,2,0,0
2018-04-01,ETH,2,0,2,0,0
2018-04-02,BTC,14,0,14,0,0
2018-04-02,ETH,7,0,7,0,0
2018-04-02,LTC,2,0,2,0,0
2018-04-03,BTC,14,0,14,0,0
2018-04-03,ETH,8,0,8,0,0
2018-04-04,BTC,16,0,16,0,0
2018-04-04,ETH,8,0,8,0,0
2018-04-04,LTC,1,0,1,0,0
2018-04-05,BTC,11,0,11,0,0
2018-04-05,ETH,2,0,2,0,0
2018-04-05,LTC,1,0,1,0,0
2018-04-06,BTC,17,0,17,0,0
2018-04-06,ETH,3,0,3,0,0
2018-04-06,LTC,2,0,2,0,0
2018-04-07,BTC,6,0,6,0,0
2018-04-07,ETH,3,0,3,0,0
2018-04-08,BTC,4,0,4,0,0
2018-04-08,ETH,5,0,5,0,0
2018-04-09,BTC,14,0,14,0,0
2018-04-09,ETH,6,0,6,0,0
2018-04-09,LTC,1,0,1,0,0
2018-04-10,BTC,14,0,14,0,0
2018-04-10,ETH,4,0,4,0,0
2018-04-11,BTC,17,0,17,0,0
2018-04-11,ETH,3,0,3,0,0
2018-04-12,BTC,15,0,15,0,0
2018-04-12,ETH,3,0,3,0,0
2018-04-12,LTC,1,0,1,0,0
2018-04-13,BTC,16,0,16,0,0
2018-04-13,ETH,2,0,2,0,0
2018-04-13,LTC,2,0,2,0,0
2018-04-14,BTC,7,0,7,0,0
2018-04-14,ETH,3,0,3,0,0
2018-04-14,LTC,1,0,1,0,0
2018-04-15,BNB,1,0,1,0,0
2018-04-15,BTC,8,0,8,0,0
2018-04-15,ETH,1,0,1,0,0
2018-04-16,BTC,24,0,24,0,0
2018-04-16,ETH,3,0,3,0,0
2018-04-17,ADA,1,0,1,0,0
2018-04-17,BNB,1,0,1,0,0
2018-04-17,BTC,16,0,16,0,0
2018-04-17,ETH,4,0,4,0,0
2018-04-17,LTC,3,0,3,0,0
2018-04-18,BTC,22,0,22,0,0
2018-04-18,ETH,1,0,1,0,0
2018-04-18,LTC,1,0,1,0,0
2018-04-19,BTC,20,0,20,0,0
2018-04-19,ETH,5,0,5,0,0
2018-04-20,BTC,21,0,21,0,0
2018-04-20,ETH,4,0,4,0,0
2018-04-21,BTC,10,0,10,0,0
2018-04-21,ETH,1,0,1,0,0
2018-04-22,BTC,6,0,6,0,0
2018-04-22,ETH,5,0,5,0,0
2018-04-23,BTC,21,0,21,0,0
2018-04-23,ETH,5,0,5,0,0
2018-04-23,LTC,1,0,1,0,0
2018-04-24,BTC,22,0,22,0,0
2018-04-24,ETH,8,0,8,0,0
2018-04-24,LTC,2,0,2,0,0
2018-04-25,BTC,18,0,18,0,0
2018-04-25,ETH,8,0,8,0,0
2018-04-25,LTC,2,0,2,0,0
2018-04-26,BTC,22,0,22,0,0
2018-04-26,ETH,7,0,7,0,0
2018-04-26,LTC,1,0,1,0,0
2018-04-27,BTC,22,0,22,0,0
2018-04-27,ETH,5,0,5,0,0
2018-04-27,LTC,1,0,1,0,0
2018-04-28,BTC,11,0,11,0,0
2018-04-28,ETH,4,0,4,0,0
2018-04-28,LTC,1,0,1,0,0
2018-04-29,BTC,2,0,2,0,0
2018-04-29,ETH,2,0,2,0,0
2018-04-29,LTC,1,0,1,0,0
2018-04-30,BTC,15,0,15,0,0
2018-04-30,ETH,6,0,6,0,0
2018-05-01,BTC,13,0,13,0,0
2018-05-01,ETH,4,0,4,0,0
2018-05-01,LTC,1,0,1,0,0
2018-05-02,BTC,21,0,21,0,0
2018-05-02,ETH,11,0,11,0,0
2018-05-02,LTC,1,0,1,0,0
2018-05-03,BTC,25,0,25,0,0
2018-05-03,ETH,6,0,6,0,0
2018-05-03,LTC,2,0,2,0,0
2018-05-04,BTC,20,0,20,0,0
2018-05-04,ETH,7,0,7,0,0
2018-05-04,XRP,2,0,2,0,0
2018-05-05,ADA,1,0,1,0,0
2018-05-05,BTC,4,0,4,0,0
2018-05-05,ETH,4,0,4,0,0
2018-05-05,XRP,6,0,6,0,0
2018-05-06,BTC,11,0,11,0,0
2018-05-06,ETH,2,0,2,0,0
2018-05-06,XRP,2,0,2,0,0
2018-05-07,ADA,1,0,1,0,0
2018-05-07,BTC,20,0,20,0,0
2018-05-07,ETH,10,0,10,0,0
2018-05-07,LTC,2,0,2,0,0
2018-05-07,XRP,3,0,3,0,0
2018-05-08,ADA,1,0,1,0,0
2018-05-08,BNB,1,0,1,0,0
2018-05-08,BTC,21,0,21,0,0
2018-05-08,ETH,5,0,5,0,0
2018-05-09,BTC,23,0,23,0,0
2018-05-09,ETH,7,0,7,0,0
2018-05-09,LTC,1,0,1,0,0
2018-05-09,XRP,3,0,3,0,0
2018-05-10,ADA,1,0,1,0,0
2018-05-10,BTC,17,0,17,0,0
2018-05-10,ETH,5,0,5,0,0
2018-05-10,XRP,4,0,4,0,0
2018-05-11,BTC,14,0,14,0,0
2018-05-11,ETH,5,0,5,0,0
2018-05-11,LTC,1,0,1,0,0
2018-05-11,XRP,1,0,1,0,0
2018-05-12,BTC,12,0,12,0,0
2018-05-12,ETH,1,0,1,0,0
2018-05-13,BTC,8,0,8,0,0
2018-05-13,ETH,1,0,1,0,0
2018-05-13,XRP,1,0,1,0,0
2018-05-14,BTC,22,0,22,0,0
2018-05-14,ETH,8,0,8,0,0
2018-05-14,XRP,1,0,1,0,0
2018-05-15,BTC,24,0,24,0,0
2018-05-15,ETH,6,0,6,0,0
2018-05-15,LTC,1,0,1,0,0
2018-05-15,XRP,4,0,4,0,0
2018-05-16,BTC,15,0,15,0,0
2018-05-16,ETH,4,0,4,0,0
2018-05-16,LTC,1,0,1,0,0
2018-05-17,BTC,10,0,10,0,0
2018-05-17,ETH,4,0,4,0,0
2018-05-18,BTC,13,0,13,0,0
2018-05-18,ETH,4,0,4,0,0
2018-05-18,XRP,2,0,2,0,0
2018-05-19,BTC,14,0,14,0,0
